text,label
Tafadhali tusaidie kupata maji safi.,0
"Karibu nyumbani rafiki, tumekumiss sana.",0
Wale wote wa upande huo ni takataka tupu!,1
Hatufai kuwaacha watu hao waendelee kuishi hapa!,1
Viongozi wetu wote ni wezi na hawafai!,1
"Habari yako ndugu yangu, siku njema!",0
Ni lazima tuwafukuze kutoka kijijini kwetu!,1
Afya ni msingi wa maendeleo ya jamii.,0
"Nimefurahia mechi ya jana, ilikuwa nzuri sana.",0
Hao watu wa mtaa ule wanastahili kupigwa!,1
Hatufai kuwaacha watu hao waendelee kuishi hapa!,1
Wanawake wote wa eneo lile ni wajinga.,1
Afya ni msingi wa maendeleo ya jamii.,0
"Wamesababisha matatizo yote, tuwafukuze!",1
Watu wa kabila hilo ni wabaya sana!,1
Wasioelewa wangefukuzwa zamani!,1
Wale wote wa upande huo ni takataka tupu!,1
Wanastahili kuchomwa moto ili wawe funzo kwa wengine!,1
"Hawana akili kabisa, ni wapumbavu!",1
Wasioelewa wangefukuzwa zamani!,1
Elimu ni muhimu kwa kila mtoto katika jamii.,0
Wale wote wa upande huo ni takataka tupu!,1
Wanafaa kuadhibiwa vikali hadi waache ujinga wao!,1
Ni lazima tuwafukuze kutoka kijijini kwetu!,1
Wazazi wana jukumu kubwa kwa watoto wao.,0
Hao watu wa mtaa ule wanastahili kupigwa!,1
Tunaweza kushirikiana kuleta maendeleo.,0
Wale watu ni mizigo kwa taifa hili!,1
Nimejifunza mengi kwenye warsha hii.,0
Wazazi wana jukumu kubwa kwa watoto wao.,0
Tafadhali tusaidie kupata maji safi.,0
"Wamesababisha matatizo yote, tuwafukuze!",1
Elimu ni muhimu kwa kila mtoto katika jamii.,0
Wazazi wana jukumu kubwa kwa watoto wao.,0
Afya ni msingi wa maendeleo ya jamii.,0
"Habari yako ndugu yangu, siku njema!",0
Tuwahimize vijana kushiriki katika ujenzi wa taifa.,0
"Karibu nyumbani rafiki, tumekumiss sana.",0
"Hao ni wanyama, si watu!",1
"Ndugu zangu, tuishi kwa mshikamano na upendo.",0
Wale wote wa upande huo ni takataka tupu!,1
Kazi ya mkulima ni ya muhimu sana.,0
"Karibu nyumbani rafiki, tumekumiss sana.",0
"Ndugu zangu, tuishi kwa mshikamano na upendo.",0
Mimi napenda kuishi kwa amani na watu wote.,0
"Hao ni wanyama, si watu!",1
Mimi napenda kuishi kwa amani na watu wote.,0
"Ndugu zangu, tuishi kwa mshikamano na upendo.",0
Natamani kila mtu apate fursa sawa.,0
Wale wote wa upande huo ni takataka tupu!,1
Tutunze mazingira yetu kwa afya bora.,0
Natamani kila mtu apate fursa sawa.,0
"Nimefurahia mechi ya jana, ilikuwa nzuri sana.",0
Upendo na heshima viwe msingi wa maisha.,0
Wanastahili kuchomwa moto ili wawe funzo kwa wengine!,1
Hawa watu hawana maana wala mchango wowote!,1
Viongozi wetu wote ni wezi na hawafai!,1
Wanastahili kuchomwa moto ili wawe funzo kwa wengine!,1
Wazazi wana jukumu kubwa kwa watoto wao.,0
"Hiyo jamii haina faida yoyote, ni wachafu tu.",1
Wanaume wa jamii hiyo hawana akili!,1
Wale wote wa upande huo ni takataka tupu!,1
Hatufai kuwaacha watu hao waendelee kuishi hapa!,1
Wale watu ni mizigo kwa taifa hili!,1
Tunaweza kushirikiana kuleta maendeleo.,0
Ni lazima tuwafukuze kutoka kijijini kwetu!,1
Afya ni msingi wa maendeleo ya jamii.,0
Jamii hiyo ni sumu kwa taifa letu!,1
Kazi ya mkulima ni ya muhimu sana.,0
Wale watu ni mizigo kwa taifa hili!,1
Watu wa kabila hilo ni wabaya sana!,1
Wanastahili kuchomwa moto ili wawe funzo kwa wengine!,1
"Asante kwa msaada wako jana, ulinisaidia sana.",0
Tutunze mazingira yetu kwa afya bora.,0
Watu wa kabila hilo ni wabaya sana!,1
Tunaweza kushirikiana kuleta maendeleo.,0
"Wamesababisha matatizo yote, tuwafukuze!",1
Wanawake wote wa eneo lile ni wajinga.,1
"Wamesababisha matatizo yote, tuwafukuze!",1
Wanawake wote wa eneo lile ni wajinga.,1
"Hawana akili kabisa, ni wapumbavu!",1
Mimi napenda kuishi kwa amani na watu wote.,0
Tuwahimize vijana kushiriki katika ujenzi wa taifa.,0
Wazazi wana jukumu kubwa kwa watoto wao.,0
Tunaweza kushirikiana kuleta maendeleo.,0
"Ndugu zangu, tuishi kwa mshikamano na upendo.",0
Wakumbushwe kwa nguvu jinsi ya kuishi!,1
Tutunze mazingira yetu kwa afya bora.,0
"Asante kwa msaada wako jana, ulinisaidia sana.",0
Tafadhali tusaidie kupata maji safi.,0
Hatufai kuwaacha watu hao waendelee kuishi hapa!,1
"Hao ni wanyama, si watu!",1
Nimejifunza mengi kwenye warsha hii.,0
Viongozi wetu wote ni wezi na hawafai!,1
Watoto wetu wanastahili malezi bora.,0
"Habari yako ndugu yangu, siku njema!",0
Wanawake wote wa eneo lile ni wajinga.,1
Tutunze mazingira yetu kwa afya bora.,0
Watu wa kabila hilo ni wabaya sana!,1
"Ndugu zangu, tuishi kwa mshikamano na upendo.",0
Ni lazima tuwafukuze kutoka kijijini kwetu!,1
Jamii hiyo ni sumu kwa taifa letu!,1
Tusiwape nafasi ya kuongea hata kidogo!,1
Watu wa kabila hilo ni wabaya sana!,1
"Karibu nyumbani rafiki, tumekumiss sana.",0
"Ndugu zangu, tuishi kwa mshikamano na upendo.",0
Natamani kila mtu apate fursa sawa.,0
"Hao ni wanyama, si watu!",1
Hao watu wa mtaa ule wanastahili kupigwa!,1
Afya ni msingi wa maendeleo ya jamii.,0
Watoto wetu wanastahili malezi bora.,0
Nimefurahia mazungumzo yetu ya leo.,0
Hao watu wa mtaa ule wanastahili kupigwa!,1
Tunaweza kushirikiana kuleta maendeleo.,0
Wanawake wote wa eneo lile ni wajinga.,1
Tuimarishe uchumi wetu kwa pamoja.,0
"Asante kwa msaada wako jana, ulinisaidia sana.",0
"Wamesababisha matatizo yote, tuwafukuze!",1
Tusiwape nafasi ya kuongea hata kidogo!,1
Wanastahili kuchomwa moto ili wawe funzo kwa wengine!,1
"Asante kwa msaada wako jana, ulinisaidia sana.",0
Tunaweza kushirikiana kuleta maendeleo.,0
Afya ni msingi wa maendeleo ya jamii.,0
"Nimefurahia mechi ya jana, ilikuwa nzuri sana.",0
Kazi ya mkulima ni ya muhimu sana.,0
Hawa watu hawana maana wala mchango wowote!,1
Tutunze mazingira yetu kwa afya bora.,0
Tafadhali tusaidie kupata maji safi.,0
"Wamesababisha matatizo yote, tuwafukuze!",1
Watoto wetu wanastahili malezi bora.,0
"Karibu nyumbani rafiki, tumekumiss sana.",0
Watu wa kabila hilo ni wabaya sana!,1
Watu wa kabila hilo ni wabaya sana!,1
Wasioelewa wangefukuzwa zamani!,1
"Wamesababisha matatizo yote, tuwafukuze!",1
Wale watu ni mizigo kwa taifa hili!,1
Hawa watu hawana maana wala mchango wowote!,1
Nimefurahia mazungumzo yetu ya leo.,0
Wanafaa kuadhibiwa vikali hadi waache ujinga wao!,1
"Ndugu zangu, tuishi kwa mshikamano na upendo.",0
Elimu ni muhimu kwa kila mtoto katika jamii.,0
Wanastahili kuchomwa moto ili wawe funzo kwa wengine!,1
Nimefurahia mazungumzo yetu ya leo.,0
Tunaweza kushirikiana kuleta maendeleo.,0
"Asante kwa msaada wako jana, ulinisaidia sana.",0
Ni lazima tuwafukuze kutoka kijijini kwetu!,1
Ni lazima tuwafukuze kutoka kijijini kwetu!,1
Hawa watu hawana maana wala mchango wowote!,1
Tutunze mazingira yetu kwa afya bora.,0
"Habari yako ndugu yangu, siku njema!",0
Viongozi wetu wote ni wezi na hawafai!,1
Wanawake wote wa eneo lile ni wajinga.,1
Tuwahimize vijana kushiriki katika ujenzi wa taifa.,0
"Hiyo jamii haina faida yoyote, ni wachafu tu.",1
Tuimarishe uchumi wetu kwa pamoja.,0
"Nimefurahia mechi ya jana, ilikuwa nzuri sana.",0
Wale watu ni mizigo kwa taifa hili!,1
Tunaweza kushirikiana kuleta maendeleo.,0
Hatufai kuwaacha watu hao waendelee kuishi hapa!,1
Tutunze mazingira yetu kwa afya bora.,0
Wanastahili kuchomwa moto ili wawe funzo kwa wengine!,1
Wale watu ni mizigo kwa taifa hili!,1
Kazi ya mkulima ni ya muhimu sana.,0
"Wamesababisha matatizo yote, tuwafukuze!",1
Ni lazima tuwafukuze kutoka kijijini kwetu!,1
Hawa watu hawana maana wala mchango wowote!,1
Wazazi wana jukumu kubwa kwa watoto wao.,0
"Asante kwa msaada wako jana, ulinisaidia sana.",0
Tuimarishe uchumi wetu kwa pamoja.,0
"Ndugu zangu, tuishi kwa mshikamano na upendo.",0
"Karibu nyumbani rafiki, tumekumiss sana.",0
Tusiwape nafasi ya kuongea hata kidogo!,1
Ni lazima tuwafukuze kutoka kijijini kwetu!,1
Nimejifunza mengi kwenye warsha hii.,0
Hao watu wa mtaa ule wanastahili kupigwa!,1
"Ndugu zangu, tuishi kwa mshikamano na upendo.",0
Tunaweza kushirikiana kuleta maendeleo.,0
Upendo na heshima viwe msingi wa maisha.,0
"Nimefurahia mechi ya jana, ilikuwa nzuri sana.",0
Tusiwape nafasi ya kuongea hata kidogo!,1
Elimu ni muhimu kwa kila mtoto katika jamii.,0
"Hao ni wanyama, si watu!",1
Wanafaa kuadhibiwa vikali hadi waache ujinga wao!,1
Viongozi wetu wote ni wezi na hawafai!,1
Wanaume wa jamii hiyo hawana akili!,1
Tusiwape nafasi ya kuongea hata kidogo!,1
Wasioelewa wangefukuzwa zamani!,1
Afya ni msingi wa maendeleo ya jamii.,0
Tutunze mazingira yetu kwa afya bora.,0
Watoto wetu wanastahili malezi bora.,0
Hatufai kuwaacha watu hao waendelee kuishi hapa!,1
Kazi ya mkulima ni ya muhimu sana.,0
Nimejifunza mengi kwenye warsha hii.,0
Wanaume wa jamii hiyo hawana akili!,1
